rental_id,rental_date,return_date,rental_days,customer_id,customer_name,store_id,store_location,film_id,film_title,category_id,category_name,payment_id,payment_date,payment_amount
1,"2005-05-24 22:53:30","2005-05-26 22:04:30",2,130,"CHARLOTTE HUNTER",1,"Lethbridge, Canada",80,"BLANKET BEVERLY",8,Family,3504,"2005-05-24 22:53:30",2.99
2,"2005-05-24 22:54:33","2005-05-28 19:40:33",4,459,"TOMMY COLLAZO",2,"Woodridge, Australia",333,"FREAKY POCUS",12,Music,12377,"2005-05-24 22:54:33",2.99
3,"2005-05-24 23:03:39","2005-06-01 22:12:39",8,408,"MANUEL MURRELL",2,"Woodridge, Australia",373,"GRADUATE LORD",3,Children,11032,"2005-05-24 23:03:39",3.99
4,"2005-05-24 23:04:41","2005-06-03 01:43:41",10,333,"ANDREW PURDY",1,"Lethbridge, Canada",535,"LOVE SUICIDES",11,Horror,8987,"2005-05-24 23:04:41",4.99
5,"2005-05-24 23:05:21","2005-06-02 04:33:21",9,222,"DELORES HANSEN",2,"Woodridge, Australia",450,"IDOLS SNATCHERS",3,Children,6003,"2005-05-24 23:05:21",6.99
6,"2005-05-24 23:08:07","2005-05-27 01:32:07",3,549,"NELSON CHRISTENSON",1,"Lethbridge, Canada",613,"MYSTIC TRUMAN",5,Comedy,14728,"2005-05-24 23:08:07",0.99
7,"2005-05-24 23:11:53","2005-05-29 20:34:53",5,269,"CASSANDRA WALTERS",2,"Woodridge, Australia",870,"SWARM GOLD",11,Horror,7274,"2005-05-24 23:11:53",1.99
8,"2005-05-24 23:31:46","2005-05-27 23:33:46",3,239,"MINNIE ROMERO",1,"Lethbridge, Canada",510,"LAWLESS VISION",2,Animation,6440,"2005-05-24 23:31:46",4.99
9,"2005-05-25 00:00:40","2005-05-28 00:22:40",3,126,"ELLEN SIMPSON",1,"Lethbridge, Canada",565,"MATRIX SNOWMAN",9,Foreign,3386,"2005-05-25 00:00:40",4.99
10,"2005-05-25 00:02:21","2005-05-31 22:44:21",6,399,"DANNY ISOM",2,"Woodridge, Australia",396,"HANGING DEEP",7,Drama,10785,"2005-05-25 00:02:21",5.99
11,"2005-05-25 00:09:02","2005-06-02 20:56:02",8,142,"APRIL BURNS",1,"Lethbridge, Canada",971,"WHALE BIKINI",9,Foreign,3831,"2005-05-25 00:09:02",8.99
12,"2005-05-25 00:19:27","2005-05-30 05:44:27",5,261,"DEANNA BYRD",1,"Lethbridge, Canada",347,"GAMES BOWFINGER",16,Travel,7044,"2005-05-25 00:19:27",4.99
13,"2005-05-25 00:22:55","2005-05-30 04:28:55",5,334,"RAYMOND MCWHORTER",1,"Lethbridge, Canada",499,"KING EVOLUTION",8,Family,9014,"2005-05-25 00:22:55",6.99
14,"2005-05-25 00:31:15","2005-05-26 02:56:15",1,446,"THEODORE CULP",2,"Woodridge, Australia",593,"MONTEREY LABYRINTH",11,Horror,12025,"2005-05-25 00:31:15",0.99
15,"2005-05-25 00:39:22","2005-06-03 03:30:22",9,319,"RONALD WEINER",1,"Lethbridge, Canada",670,"PELICAN COMFORTS",6,Documentary,8623,"2005-05-25 00:39:22",9.99
16,"2005-05-25 00:43:11","2005-05-26 04:42:11",1,316,"STEVEN CURLEY",1,"Lethbridge, Canada",86,"BOOGIE AMELIE",12,Music,8554,"2005-05-25 00:43:11",4.99
17,"2005-05-25 01:06:36","2005-05-27 00:43:36",2,575,"ISAAC OGLESBY",2,"Woodridge, Australia",181,"CONTACT ANONYMOUS",16,Travel,15394,"2005-05-25 01:06:36",2.99
18,"2005-05-25 01:10:47","2005-05-31 06:35:47",6,19,"RUTH MARTINEZ",1,"Lethbridge, Canada",741,"ROMAN PUNK",12,Music,490,"2005-05-25 01:10:47",0.99
19,"2005-05-25 01:17:24","2005-05-31 06:00:24",6,456,"RONNIE RICKETTS",2,"Woodridge, Australia",422,"HOLLOW JEOPARDY",14,Sci-Fi,12305,"2005-05-25 01:17:24",4.99
20,"2005-05-25 01:48:41","2005-05-27 02:20:41",2,185,"ROBERTA HARPER",2,"Woodridge, Australia",770,"SCISSORHANDS SLUMS",9,Foreign,5020,"2005-05-25 01:48:41",2.99
21,"2005-05-25 01:59:46","2005-05-26 01:01:46",1,388,"CRAIG MORRELL",1,"Lethbridge, Canada",31,"APACHE DIVINE",8,Family,10499,"2005-05-25 01:59:46",4.99
22,"2005-05-25 02:19:23","2005-05-26 04:52:23",1,509,"RAUL FORTIER",1,"Lethbridge, Canada",159,"CLOSER BANG",5,Comedy,13711,"2005-05-25 02:19:23",4.99
23,"2005-05-25 02:40:21","2005-05-29 06:34:21",4,438,"BARRY LOVELACE",1,"Lethbridge, Canada",971,"WHALE BIKINI",9,Foreign,11796,"2005-05-25 02:40:21",4.99
24,"2005-05-25 02:53:02","2005-05-27 01:15:02",2,350,"JUAN FRALEY",1,"Lethbridge, Canada",721,"REDS POCUS",12,Music,9463,"2005-05-25 02:53:02",4.99
25,"2005-05-25 03:21:20","2005-05-27 21:25:20",2,37,"PAMELA BAKER",2,"Woodridge, Australia",863,"SUN CONFESSIONS",14,Sci-Fi,1011,"2005-05-25 03:21:20",0.99
26,"2005-05-25 03:36:50","2005-05-31 00:34:50",6,371,"BILLY POULIN",1,"Lethbridge, Canada",953,"WAIT CIDER",2,Animation,10019,"2005-05-25 03:36:50",3.99
27,"2005-05-25 03:41:50","2005-05-30 01:13:50",5,301,"ROBERT BAUGHMAN",2,"Woodridge, Australia",271,"EASY GLADIATOR",1,Action,8167,"2005-05-25 03:41:50",4.99
28,"2005-05-25 03:42:37","2005-05-26 09:26:37",1,232,"CONSTANCE REID",1,"Lethbridge, Canada",887,"THIEF PELICAN",2,Animation,6245,"2005-05-25 03:42:37",4.99
29,"2005-05-25 03:47:12","2005-05-30 00:31:12",5,44,"MARIE TURNER",2,"Woodridge, Australia",132,"CHAINSAW UPTOWN",14,Sci-Fi,1203,"2005-05-25 03:47:12",0.99
30,"2005-05-25 04:01:32","2005-05-30 03:12:32",5,430,"RAY HOULE",1,"Lethbridge, Canada",819,"SONG HEDWIG",12,Music,11598,"2005-05-25 04:01:32",2.99
31,"2005-05-25 04:05:17","2005-05-30 07:15:17",5,369,"FRED WHEAT",2,"Woodridge, Australia",979,"WITCHES PANIC",7,Drama,9975,"2005-05-25 04:05:17",4.99
32,"2005-05-25 04:06:21","2005-05-25 23:55:21",0,230,"JOY GEORGE",2,"Woodridge, Australia",839,"STALLION SUNDANCE",14,Sci-Fi,6186,"2005-05-25 04:06:21",0.99
33,"2005-05-25 04:18:51","2005-05-27 03:58:51",2,272,"KAY CALDWELL",1,"Lethbridge, Canada",367,"GOLDMINE TYCOON",14,Sci-Fi,7347,"2005-05-25 04:18:51",0.99
34,"2005-05-25 04:19:28","2005-05-29 00:10:28",4,597,"FREDDIE DUGGAN",1,"Lethbridge, Canada",573,"MICROCOSMOS PARADISE",3,Children,15984,"2005-05-25 04:19:28",2.99
35,"2005-05-25 04:24:36","2005-05-27 07:02:36",2,484,"ROBERTO VU",2,"Woodridge, Australia",284,"ENEMY ODDS",12,Music,13055,"2005-05-25 04:24:36",4.99
36,"2005-05-25 04:36:26","2005-05-29 00:31:26",4,88,"BONNIE HUGHES",2,"Woodridge, Australia",288,"ESCAPE METROPOLIS",16,Travel,2388,"2005-05-25 04:36:26",2.99
37,"2005-05-25 04:44:31","2005-05-29 01:03:31",4,535,"JAVIER ELROD",2,"Woodridge, Australia",89,"BORROWERS BEDAZZLED",2,Animation,14396,"2005-05-25 04:44:31",0.99
38,"2005-05-25 04:47:44","2005-06-01 00:58:44",7,302,"MICHAEL SILVERMAN",1,"Lethbridge, Canada",557,"MANCHURIAN CURTAIN",8,Family,8188,"2005-05-25 04:47:44",4.99
39,"2005-05-25 04:51:46","2005-05-31 03:14:46",6,207,"GERTRUDE CASTILLO",1,"Lethbridge, Canada",976,"WIND PHANTOM",10,Games,5596,"2005-05-25 04:51:46",0.99
40,"2005-05-25 05:09:04","2005-05-27 23:12:04",2,413,"MARVIN YEE",1,"Lethbridge, Canada",579,"MINDS TRUMAN",1,Action,11170,"2005-05-25 05:09:04",4.99
41,"2005-05-25 05:12:29","2005-06-02 00:28:29",8,174,"YVONNE WATKINS",2,"Woodridge, Australia",382,"GRIT CLOCKWORK",10,Games,4718,"2005-05-25 05:12:29",5.99
42,"2005-05-25 05:24:58","2005-05-31 02:47:58",6,523,"HARVEY GUAJARDO",1,"Lethbridge, Canada",84,"BOILED DARES",16,Travel,14076,"2005-05-25 05:24:58",4.99
43,"2005-05-25 05:39:25","2005-05-26 06:54:25",1,532,"NEIL RENNER",2,"Woodridge, Australia",564,"MASSAGE IMAGE",2,Animation,14307,"2005-05-25 05:39:25",2.99
44,"2005-05-25 05:53:23","2005-05-29 10:56:23",4,207,"GERTRUDE CASTILLO",1,"Lethbridge, Canada",681,"PIRATES ROXANNE",15,Sports,5597,"2005-05-25 05:53:23",0.99
45,"2005-05-25 05:59:39","2005-06-02 09:56:39",8,436,"TROY QUIGLEY",2,"Woodridge, Australia",403,"HARRY IDAHO",7,Drama,11743,"2005-05-25 05:59:39",7.99
46,"2005-05-25 06:04:08","2005-06-02 08:18:08",8,7,"MARIA MILLER",1,"Lethbridge, Canada",730,"RIDGEMONT SUBMARINE",13,New,174,"2005-05-25 06:04:08",5.99
47,"2005-05-25 06:05:20","2005-05-30 03:04:20",5,35,"VIRGINIA GREEN",2,"Woodridge, Australia",478,"JAWS HARRY",5,Comedy,952,"2005-05-25 06:05:20",3.99
48,"2005-05-25 06:20:46","2005-06-02 05:42:46",8,282,"JENNY CASTRO",1,"Lethbridge, Canada",387,"GUN BONNIE",10,Games,7625,"2005-05-25 06:20:46",1.99
49,"2005-05-25 06:39:35","2005-05-30 10:12:35",5,498,"GENE SANBORN",1,"Lethbridge, Canada",650,"PACIFIC AMISTAD",6,Documentary,13405,"2005-05-25 06:39:35",2.99
